year,month,day,date,state,magnitude,injuries,fatalities,start_latitude,start_longitude,end_latitude,end_longitude,length,width,region,season
2007,2,2,2007-02-02,FL,0,0,0,27.73,-81.53,27.73,-81.53,0.5,50,s,Winter
2007,2,2,2007-02-02,FL,1,0,0,29.06,-80.99,29.07,-80.94,3.1,100,s,Winter
2007,2,2,2007-02-02,FL,3,25,8,28.88,-82.05,28.92,-81.78,16.17,450,s,Winter
2007,2,2,2007-02-02,FL,3,51,13,28.96,-81.59,29.04,-81.16,26.03,450,s,Winter
2007,2,13,2007-02-13,SC,1,0,0,32.99,-81.29,32.99,-81.29,0.03,30,s,Winter
2007,2,13,2007-02-13,SC,1,0,0,33.65,-82.17,33.87,-81.92,31.33,200,s,Winter
2007,2,13,2007-02-13,SC,0,0,0,33.14,-81.13,33.15,-81.1,2.01,40,s,Winter
2007,2,13,2007-02-13,MS,1,0,0,32.14,-89.51,32.15,-89.45,3.71,75,s,Winter
2007,2,13,2007-02-13,MS,0,0,0,30.45,-88.74,30.45,-88.74,0.3,25,s,Winter
2007,2,13,2007-02-13,MS,0,0,0,30.78,-89.47,30.78,-89.47,0.3,25,s,Winter
2007,2,13,2007-02-13,LA,2,10,1,30.01,-90.05,30.02,-90.03,1.29,50,s,Winter
2007,2,13,2007-02-13,LA,2,24,0,29.9,-90.13,29.98,-90.1,8.72,50,s,Winter
2007,2,13,2007-02-13,LA,2,3,0,30.23,-91.86,30.28,-91.81,4.31,300,s,Winter
2007,2,13,2007-02-13,MS,0,0,0,31.42,-89.85,31.45,-89.81,3.0,75,s,Winter
2007,2,13,2007-02-13,LA,0,0,0,30.03,-92.04,30.04,-92.03,0.46,25,s,Winter
2007,2,13,2007-02-13,LA,0,0,0,29.99,-91.76,29.99,-91.76,0.46,25,s,Winter
2007,2,13,2007-02-13,GA,1,1,0,32.75,-81.6,32.76,-81.59,0.6,35,s,Winter
2007,2,13,2007-02-13,FL,1,0,0,30.41,-84.8,30.41,-84.8,0.25,50,s,Winter
2007,2,13,2007-02-13,AL,1,0,0,32.47,-86.75,32.45,-86.74,1.1,200,s,Winter
2007,2,13,2007-02-13,AL,1,0,0,33.01,-87.4,33.01,-87.23,9.71,400,s,Winter
2007,2,13,2007-02-13,AL,0,0,0,33.02,-87.08,33.01,-86.95,7.47,250,s,Winter
2007,2,13,2007-02-13,AL,0,0,0,32.59,-87.57,32.57,-87.46,6.52,25,s,Winter
2007,2,13,2007-02-13,LA,1,0,0,30.11,-92.02,30.14,-92.01,2.16,50,s,Winter
2007,2,23,2007-02-23,TX,0,0,0,35.28,-100.6,35.28,-100.6,0.1,25,s,Winter
2007,2,23,2007-02-23,KS,0,0,0,37.38,-100.35,37.46,-100.3,2.5,50,mw,Winter
2007,2,23,2007-02-23,KS,1,0,0,37.45,-100.28,37.7,-100.12,18.41,100,mw,Winter
2007,2,24,2007-02-24,LA,2,0,0,31.61,-91.83,31.74,-91.6,17.33,500,s,Winter
2007,2,24,2007-02-24,MS,1,0,0,32.32,-89.3,32.35,-89.26,3.5,150,s,Winter
2007,2,24,2007-02-24,MS,1,0,0,32.22,-89.92,32.22,-89.92,1.0,75,s,Winter
2007,2,24,2007-02-24,MS,1,0,0,33.39,-90.72,33.51,-90.58,12.0,150,s,Winter
2007,2,24,2007-02-24,MS,0,0,0,33.66,-90.36,33.66,-90.35,1.0,40,s,Winter
