state,month,length
AL,1,4.383571428571429
AL,2,3.8953846153846152
AL,3,7.547070707070707
AL,4,3.966736842105263
AL,5,4.904444444444445
AL,6,3.3433333333333333
AL,7,5.078571428571428
AL,8,5.1433333333333335
AL,9,3.4250000000000003
AL,10,1.7066666666666668
AL,11,4.87939393939394
AL,12,4.5028125
AR,1,6.096470588235294
AR,2,8.125714285714286
AR,3,3.961730769230769
AR,4,4.074523809523809
AR,5,2.0272972972972974
AR,6,0.3566666666666667
AR,7,1.2466666666666668
AR,8,2.865833333333333
AR,9,3.9
AR,10,7.078571428571428
AR,11,5.1475
AR,12,3.911904761904762
AZ,1,0.0
AZ,2,0.0
AZ,3,0.0
AZ,4,0.0
AZ,5,1.0
AZ,6,0.1
AZ,7,0.5722222222222222
AZ,8,0.98
AZ,9,0.7766666666666667
AZ,10,2.178333333333333
AZ,11,6.75
AZ,12,0.0
CA,1,0.6166666666666667
CA,2,0.325
CA,3,0.615
CA,4,2.356666666666667
CA,5,0.1533333333333333
CA,6,0.2
CA,7,2.023333333333333
CA,8,1.185
CA,9,4.1575
CA,10,0.04
CA,11,2.6333333333333333
CA,12,2.4266666666666667
CO,1,0.0
CO,2,0.0
CO,3,0.59
CO,4,0.2475
CO,5,0.993030303030303
CO,6,1.3705882352941177
CO,7,0.6544444444444444
CO,8,0.078
CO,9,0.41
CO,10,0.01
CO,11,0.0
CO,12,0.0
FL,1,3.1448
FL,2,3.3884615384615384
FL,3,3.963478260869565
FL,4,4.215686274509804
FL,5,0.6416666666666667
FL,6,0.9296428571428572
FL,7,0.713888888888889
FL,8,0.6733333333333333
FL,9,2.0525714285714285
FL,10,2.3745454545454545
FL,11,1.318125
FL,12,3.115714285714285
GA,1,5.552608695652173
GA,2,3.18
GA,3,2.736857142857143
GA,4,5.496923076923077
GA,5,2.7640625
GA,6,10.106666666666667
GA,7,3.0
GA,8,2.68
GA,9,2.72375
GA,10,1.6072727272727272
GA,11,1.815625
GA,12,3.6948
IA,1,0.04
IA,2,0.04
IA,3,6.955666666666667
IA,4,5.354444444444444
IA,5,2.6505
IA,6,3.028958333333333
IA,7,3.162678571428572
IA,8,2.2725
IA,9,1.499375
IA,10,2.8947826086956523
IA,11,6.866666666666667
IA,12,8.673125
IL,1,0.86
IL,2,6.974
IL,3,4.732608695652174
IL,4,3.7075
IL,5,2.139047619047619
IL,6,2.4645569620253167
IL,7,1.7686206896551724
IL,8,2.93675
IL,9,1.8754545454545453
IL,10,2.7085714285714286
IL,11,4.22
IL,12,5.394651162790698
IN,1,3.753333333333333
IN,2,3.753333333333333
IN,3,1.203684210526316
IN,4,2.315454545454545
IN,5,2.4804761904761907
IN,6,2.6161764705882358
IN,7,1.7542105263157894
IN,8,2.522758620689655
IN,9,0.885
IN,10,1.8866666666666667
IN,11,5.715
IN,12,2.01125
KS,1,0.1
KS,2,0.1
KS,3,3.403333333333333
KS,4,1.8009523809523809
KS,5,3.5150840336134457
KS,6,2.097142857142857
KS,7,2.5521052631578947
KS,8,0.981
KS,9,2.982
KS,10,3.45
KS,11,9.621111111111112
KS,12,2.6225
KY,1,5.224444444444444
KY,2,3.198888888888889
KY,3,4.472857142857142
KY,4,2.677241379310345
KY,5,3.678125
KY,6,2.832
KY,7,1.4511764705882353
KY,8,1.58
KY,9,2.0725
KY,10,2.5
KY,11,1.86875
KY,12,6.666296296296297
LA,1,3.0485714285714285
LA,2,4.291304347826087
LA,3,3.878148148148148
LA,4,4.605793650793651
LA,5,2.883968253968254
LA,6,1.065
LA,7,0.2525
LA,8,0.8853846153846153
LA,9,0.6
LA,10,5.358214285714285
LA,11,3.59
LA,12,6.464285714285714
MD,1,0.0
MD,2,5.184285714285714
MD,3,0.0
MD,4,2.1675
