state,month,width
AL,1,272.92857142857144
AL,2,348.7179487179488
AL,3,403.989898989899
AL,4,262.86315789473684
AL,5,146.66666666666666
AL,6,140.0
AL,7,203.57142857142856
AL,8,153.33333333333334
AL,9,144.16666666666669
AL,10,135.0
AL,11,213.66666666666663
AL,12,176.09375
AR,1,377.3529411764706
AR,2,113.57142857142856
AR,3,222.98076923076923
AR,4,345.7142857142857
AR,5,174.72972972972974
AR,6,31.666666666666668
AR,7,133.33333333333334
AR,8,71.66666666666667
AR,9,100.0
AR,10,545.0
AR,11,387.5
AR,12,151.0952380952381
AZ,1,0.0
AZ,2,0.0
AZ,3,0.0
AZ,4,0.0
AZ,5,10.0
AZ,6,10.0
AZ,7,57.77777777777778
AZ,8,33.75
AZ,9,135.83333333333334
AZ,10,46.66666666666666
AZ,11,125.0
AZ,12,0.0
CA,1,26.444444444444443
CA,2,26.666666666666668
CA,3,17.5
CA,4,55.0
CA,5,56.66666666666666
CA,6,50.0
CA,7,26.666666666666668
CA,8,264.75
CA,9,21.25
CA,10,50.0
CA,11,51.66666666666666
CA,12,45.66666666666666
CO,1,0.0
CO,2,0.0
CO,3,50.0
CO,4,41.875
CO,5,67.72727272727273
CO,6,102.45098039215686
CO,7,53.47222222222222
CO,8,51.0
CO,9,98.88888888888889
CO,10,25.0
CO,11,0.0
CO,12,0.0
FL,1,120.0
FL,2,83.07692307692308
FL,3,190.7826086956522
FL,4,120.49019607843135
FL,5,44.72222222222222
FL,6,73.03571428571429
FL,7,45.55555555555556
FL,8,76.16666666666667
FL,9,100.94285714285714
FL,10,91.8181818181818
FL,11,92.1875
FL,12,153.28571428571428
GA,1,330.72463768115944
GA,2,219.73684210526315
GA,3,248.14285714285717
GA,4,268.25961538461536
GA,5,164.78125
GA,6,186.66666666666663
GA,7,105.0
GA,8,140.9090909090909
GA,9,193.75
GA,10,145.9090909090909
GA,11,106.25
GA,12,196.4
IA,1,25.0
IA,2,25.0
IA,3,135.16666666666666
IA,4,95.0
IA,5,62.66666666666666
IA,6,109.27083333333331
IA,7,131.51785714285714
IA,8,114.46428571428572
IA,9,50.3125
IA,10,96.7391304347826
IA,11,115.83333333333331
IA,12,91.40625
IL,1,50.0
IL,2,189.33333333333331
IL,3,184.7826086956522
IL,4,71.45833333333333
IL,5,71.34920634920636
IL,6,135.8860759493671
IL,7,114.65517241379312
IL,8,132.75
IL,9,65.0
IL,10,69.28571428571429
IL,11,53.46153846153846
IL,12,158.13953488372093
IN,1,183.33333333333331
IN,2,183.33333333333331
IN,3,54.73684210526316
IN,4,156.8181818181818
IN,5,150.71428571428572
IN,6,153.97058823529412
IN,7,77.10526315789474
IN,8,104.72413793103448
IN,9,52.5
IN,10,60.833333333333336
IN,11,210.0
IN,12,75.0
KS,1,75.0
KS,2,75.0
KS,3,56.25
KS,4,70.95238095238095
KS,5,137.4579831932773
KS,6,81.19047619047619
KS,7,180.21052631578948
KS,8,66.5
KS,9,65.0
KS,10,100.54054054054056
KS,11,395.55555555555554
KS,12,36.875
KY,1,128.33333333333334
